Date,Time,Code,ErrorMessage
16/12/2021,08:58 PM,63,TCP Open Connection in Assignment.vi
16/12/2021,10:48 PM,63,TCP Open Connection in Assignment.vi
16/12/2021,10:53 PM,63,TCP Open Connection in Assignment.vi
16/12/2021,10:53 PM,0,
16/12/2021,11:19 PM,0,
17/12/2021,08:29 PM,63,TCP Open Connection in Assignment.vi
19/12/2021,05:34 PM,63,TCP Open Connection in Assignment.vi
19/12/2021,05:35 PM,63,TCP Open Connection in Assignment.vi
19/12/2021,09:51 PM,63,TCP Open Connection in Assignment.vi
19/12/2021,11:28 PM,63,TCP Open Connection in Assignment.vi
19/12/2021,11:33 PM,0,
19/12/2021,11:33 PM,0,
19/12/2021,11:47 PM,63,TCP Open Connection in Assignment.vi
